"Your session has expired, please login.","Votre session a expiré, veuillez vous reconnecter."
"Your username or credential is invalid, please check your input.","Votre nom d'utilisateur ou votre mot de passe n'est pas valide, veuillez vérifier votre saisie."
"No such user.","Cet utilisateur n'existe pas."
"You were banned, please contact admin for more information.","Vous ont été banni, veuillez contacter l'admin pour plus d'informations."
"You have 1 unread message.","Vous avez un message non lu."
"You have 1 new message.","Vous avez un nouveau message."
"You have no new message.","Vous n'avez pas de nouveau message."
"You have %1$d new messages","Vous avez %1$d nouveaux messages"
"You have %1$d unread messages.","Vous avez %1$d messages non lus."
"You have ""%1$d"" unread messages.","Vous avez ""%1$d"" messages non lus."
"No message.","Aucun message"
"1 messages.","Un message"
"%1$d messages.","%1$d messages." 
"instantaneous","instantanné"
"Attack","Attaquer"
"Transport","Transporter"
"Station","Stationner"
"Settle","Coloniser"
"Recycle","Recycler"
"Destroy","Détruire"
"Missiles Launch","Attaque de missiles"
"Expedition","Expédition"
"Unknown","Inconnu"
"Planet is already destroyed","La planète est déjà détruite"
"Password:","Mot de passe :"
"I want to destroy this planet","Je confirme vouloir détruire cette planète"
"New name","Nouveau nom"
"Idle.","Inactif."
"Cancel","Annuler"
"Work in progress","Travail en cours"
"Buildings","Bâtiments"
"Research Laboratory","Laboratoire de recherches"
"Shipyard","Chantier spatial"
"Build","Construire"
"Metal","Métal"
"Cristal","Cristal"
"Deuterium","Deutérium"
"Energy","Energie"
"Messages","Messages"
